10227;Marolles-sous-Lignières;10;10130;48.0520003827, 3.93246550297
11111;Cruscades;11;11200;43.1662010238, 2.78892059953
12002;Aguessac;12;12520;44.1968259654, 3.06387030498
1001;L'Abergement-Clémenciat;1;1400;46.1331001556, 4.99858455549
2111;Brancourt-en-Laonnois;2;2320;49.5132435119, 3.44966195866
77020;Bannost-Villegagnon;77;77970;48.6629667533, 3.14093688522
3022;Bellenaves;3;3330;46.21070511, 3.02004688789
4167;La Robine-sur-Galabre;4;4000;44.1282802436, 6.25179168531
7075;Cros-de-Géorand;7;7630;44.823196527, 4.12827779008
8116;Bairon et ses environs;8;8390;49.5311407275, 4.82165471787
9001;Aigues-Juntes;9;9240;43.0066758951, 1.4205570849
13001;Aix-en-Provence;13;13540;43.5360221556, 5.3983786513
14005;Valambray;14;14370;49.1190784398, -0.159512854419
5128;Saint-André-d'Embrun;5;5200;44.5288516779, 6.5354706642
78013;Andelu;78;78770;48.8635257362, 1.79608711913
79002;Adilly;79;79200;46.6764128938, -0.220232536654
6163;Tende;6;6430;44.0898751159, 7.57878055901
45234;Orléans;45;45100;47.8826248233, 1.91635582903
80017;Allaines;80;80200;49.9092274559, 2.93799194086
46005;Anglars-Juillac;46;46140;44.4587405582, 1.2656539493
58278;Sermoise-sur-Loire;58;58000;46.9644333624, 3.17459118159
59002;Abscon;59;59215;50.3278360338, 3.2977204551
15001;Allanche;15;15160;45.252065959, 2.92878213054
16001;Abzac;16;16500;46.0339142008, 0.700300422302
47004;Aiguillon;47;47190;44.302646925, 0.368757601165
60002;Abbecourt;60;60430;49.3440863782, 2.15878982649
48007;Arzenc-d'Apcher;48;48310;44.7970712517, 3.12612873999
49018;Baugé-en-Anjou;49;49150;47.5402607075, -0.0974658784366
81003;Alban;81;81250;43.8730410539, 2.47494660719
50002;Agneaux;50;50180;49.1138081989, -1.15891000484
61001;Alençon;61;61000;48.4294187763, 0.088345615329
92050;Nanterre;92;92000;48.8962161446, 2.2068493546
93006;Bagnolet;93;93170;48.869693461, 2.42282027746
94003;Arcueil;94;94110;48.8054545839, 2.33403821483
95011;Ambleville;95;95710;49.1290552989, 1.69526260075
32193;Larée;32;32150;43.9190765536, -0.0421545944105
62007;Acq;62;62144;50.3578850683, 2.67826739933
71444;Saint-Loup-de-Varennes;71;71240;46.6465695916, 4.84963105442
72007;Ardenay-sur-Mérize;72;72370;48.0020289464, 0.465705755443
97101;Les Abymes;971;97142;16.2727902074, -61.5015764802
97212;Gros-Morne;972;97213;14.7120628914, -61.0259258054
97302;Cayenne;973;97300;5.02932589838, -52.5159620872
97405;Petite-Île;974;97429;-21.3396693857, 55.5689349201
97605;Chiconi;976;97670;-12.8328062861, 45.1308284247
2A001;Afa;2A;20167;41.9750629665, 8.77513294931
33006;Anglade;33;33390;45.1614457931, -0.635053100817
73006;Aime-la-Plagne;73;73210;45.5287564298, 6.7268231289
2B007;Albertacce;2B;20224;42.3286262979, 8.98251417824
34002;Adissan;34;34230;43.5651303893, 3.55082158149
74001;Abondance;74;74360;46.2907146867, 6.73957320561
75056;Paris;75;75001;48.862834158, 2.33616696102
76010;Ancretiéville-Saint-Victor;76;76760;49.6677030275, 0.908405860625
35004;Antrain;35;35560;48.4201221842, -1.56463538927
63006;Anzat-le-Luguet;63;63420;45.3815607414, 3.05063750475
36001;Aigurande;36;36140;46.4665714493, 1.83368688617
37021;Beaumont-Louestault;37;37360;47.5289315618, 0.576894142963
64005;Abos;64;64360;43.2985688459, -0.58610605773
54510;Sornéville;54;54280;48.744994601, 6.36399084854
55004;Aincreville;55;55110;49.3482069392, 5.1984552124
56005;Arzon;56;56640;47.5474079943, -2.88721612106
57003;Abreschviller;57;57560;48.5927239877, 7.10370097733
65003;Adervielle-Pouchergues;65;65240;42.8315711949, 0.385912028349
82003;Angeville;82;82210;44.0233549157, 1.01213090208
83001;Les Adrets-de-l'Estérel;83;83600;43.4958707206, 6.756116629
17002;Agudelle;17;17500;45.4259589472, -0.405217175017
66001;L'Albère;66;66480;42.4667287992, 2.83075140133
67006;Altenheim;67;67490;48.7504133614, 7.47251563059
84007;Avignon;84;84000;43.9352589636, 4.84116595474
85002;L'Aiguillon-sur-Vie;85;85220;46.7170865534, -1.78755069973
18002;Ainay-le-Vieil;18;18200;46.7360453328, 2.4965207851
86001;Adriers;86;86430;46.2180968835, 0.782184483066
87005;Aureil;87;87220;45.7856210567, 1.35360552581
51005;Allemant;51;51120;48.7149745875, 3.71343750718
19009;Les Angles-sur-Corrèze;19;19000;45.2793808785, 1.76981536054
21001;Agencourt;21;21700;47.1116693022, 4.97977918311
52012;Annonville;52;52230;48.4233848371, 5.31749003055
53001;Ahuillé;53;53940;48.0612320187, -0.86717945825
68063;Cernay;68;68700;47.8077826523, 7.1623079719
70028;Aroz;70;70360;47.6495593751, 5.96829724146
69006;Amplepuis;69;69550;45.9921852831, 4.36092903246
27568;Sainte-Marthe;27;27190;48.9728279845, 0.92112768815
28002;Allaines-Mervilliers;28;28310;48.2536557069, 1.88422826059
29007;Berrien;29;29690;48.371179439, -3.78833923671
88004;Ainvelle;88;88320;48.0700985152, 5.80353895262
30001;Aigaliers;30;30700;44.0258416482, 4.41171212043
89007;Andryes;89;89480;47.5244722983, 3.44429021267
31014;Arguenos;31;31160;42.9888223575, 0.812886566983
90001;Andelnans;90;90400;47.5946428688, 6.88170396184
91016;Angerville;91;91670;48.3099539715, 2.00495721135
38005;Allemond;38;38114;45.1681255777, 6.0656743192
25611;La Vèze;25;25660;47.1989608697, 6.07740011363
26007;Ambonil;26;26800;44.8326704656, 4.89052463788
39011;Annoire;39;39120;46.9509063875, 5.4122957378
40004;Angresse;40;40150;43.6643756035, -1.39445931936
42105;Grézieux-le-Fromental;42;42600;45.6194255891, 4.06119351589
43010;Arsac-en-Velay;43;43700;45.0330729782, 3.94919030628
41006;Autainville;41;41240;47.883516552, 1.48678396082
44005;Chaumes-en-Retz;44;44320;47.2108954989, -1.99426015028
22002;Andel;22;22400;48.5016489284, -2.50647227729
23015;Azerables;23;23160;46.3627698496, 1.53929968478
24005;Alles-sur-Dordogne;24;24480;44.8133494955, 0.885908136539
